ID,Device Name,Measurement Type,Description
1,Water Meter,Water Consumption,"Measures water consumption in a building or area."
2,Gas Meter,Gas Consumption,"Monitors gas consumption for residential or commercial use."
3,Smart Street Light,Street Lighting,"Adjusts public street lighting based on the presence of people or vehicles."
4,Smart Parking Sensor,Parking Occupancy,"Detects whether a parking space is occupied or available in real-time."
5,Traffic Flow Sensor,Traffic,"Monitors traffic flow and congestion in real-time."
6,Air Quality Sensor,Air Quality,"Measures atmospheric pollution levels such as PM2.5, PM10, CO2, and VOCs."
7,Noise Level Sensor,Noise Pollution,"Monitors noise levels in urban areas to detect acoustic pollution."
8,Weather Station,Weather Conditions,"Monitors weather conditions such as temperature, humidity, wind, rain, and atmospheric pressure."
9,Smart Waste Bin,Waste Management,"Monitors the fill level of waste bins for efficient waste collection."
10,Smart Water Pump,Water Management,"Controls water flow in distribution networks based on demand."
11,Flood Detection Sensor,Flood Alarm,"Monitors water levels in flood-prone areas."
12,Soil Moisture Sensor,Soil Moisture,"Measures soil moisture content to optimize irrigation in urban areas."
13,Smart Grid Energy Meter,Energy Consumption,"Monitors and manages electricity usage in smart city energy grids."
14,Energy Consumption Monitor,Energy Consumption,"Monitors energy consumption in buildings or urban areas for optimization."
15,Smart Bus Stop,Public Transport,"Real-time information on public transport arrival times."
16,Smart Traffic Light,Traffic Lights,"Adjusts traffic lights based on traffic flow to optimize mobility."
17,Air Pollution Sensor,Air Pollution,"Monitors urban air quality by measuring pollutants in the atmosphere."
18,Smart Building Management,Building Management,"Controls HVAC systems, lighting, and security in urban buildings."
19,Smart Grid Sensor,Smart Grid,"Monitors smart grids to optimize energy distribution in cities."
20,Smart Water Leak Detector,Water Leak Detection,"Detects water leaks in urban water supply networks to prevent waste."
21,Smart CCTV Camera,Surveillance,"Monitors public areas with intelligent cameras and motion detection."
22,Public Transport Sensor,Public Transport,"Tracks the real-time location of public transportation to optimize routes."
23,Wind Speed Sensor,Wind Speed,"Monitors wind speed in urban areas or along coastlines."
24,UV Index Sensor,UV Radiation,"Monitors UV index to inform the population about sun exposure risks."
25,Water Quality Sensor,Water Quality,"Monitors chemical and biological parameters of water to ensure its quality."
26,Smart Traffic Monitoring,Traffic Monitoring,"Uses cameras and sensors to collect data on traffic to optimize flow."
27,Parking Occupancy Sensor,Parking Occupancy,"Monitors parking space availability in real-time."
28,Smart Wastewater Sensor,Wastewater Management,"Monitors levels and quality of wastewater in sewer networks."
29,Air Temperature Sensor,Air Temperature,"Monitors air temperature in different urban zones for climate studies."
30,Pedestrian Counting Sensor,Pedestrian Flow,"Counts the number of pedestrians passing a specific point in the city."
31,Noise Pollution Sensor,Noise Pollution,"Monitors noise levels in different city areas to ensure compliance with noise regulations."
32,Light Pollution Sensor,Light Pollution,"Monitors light pollution in urban areas to improve quality of life at night."
33,Vehicle Emissions Sensor,Vehicle Emissions,"Monitors the emissions from vehicles circulating in the city."
34,Smart Floodgate Controller,Floodgate Control,"Adjusts floodgates in flood-prone areas based on water levels."
35,Street Furniture Monitor,Street Furniture,"Monitors the condition and functionality of urban street furniture such as benches and bins."
36,Smart Signage,Smart Signage,"Displays real-time information on traffic, events, or emergencies on digital signs."
37,Smart Irrigation System,Smart Irrigation,"Controls and optimizes irrigation in public parks and green areas in the city."
38,Bridge Monitoring Sensor,Bridge Monitoring,"Monitors the structural health of bridges in the city to prevent damage."
39,Smart Bicycle Sharing System,Bike Sharing,"Monitors availability and condition of shared bicycles in the city."
40,Building Energy Efficiency Sensor,Building Efficiency,"Monitors the energy efficiency of buildings to optimize consumption."
41,Smart Air Ventilation,Air Ventilation,"Optimizes ventilation systems in public buildings to ensure indoor air quality."
42,Traffic Noise Sensor,Traffic Noise,"Monitors traffic-related noise pollution in urban environments."
