,scenario,id_feature,short_clear_motivation,score,model_name,model_size,environment,model_name_understanding,model_size_understanding
0,001-smart_agriculture,0,NS-3 C++ code with main function,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
1,001-smart_agriculture,1,"LoRa device counts match (JSON: 5, Code: 5).",100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
2,001-smart_agriculture,2,"WiFi device counts do not match (JSON: 0, Code: 3).",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
3,001-smart_agriculture,3,LoRa device locations do not perfectly match blueprint coordinates.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
4,001-smart_agriculture,4,"Traffic duration and type do not fully match, especially WiFi traffic duration is shorter and type is OnOff instead of sensor data.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
5,002-smart_agriculture,0,NS-3 SOURCE CODE has main function,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
6,002-smart_agriculture,1,"LoRa devices in JSON Blueprint: 9, LoRa devices in NS-3 code: 8. Counts mismatch.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
7,002-smart_agriculture,2,"WiFi devices in JSON Blueprint: 0, WiFi devices in NS-3 code: 3. JSON does not declare WiFi, but code uses it. UNMATCH.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
8,002-smart_agriculture,3,LoRa Gateway coordinates MATCH. LoRa Endpoints and WiFi coordinates UNMATCH due to random allocation or absence in JSON.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
9,002-smart_agriculture,4,"Simulation duration MATCH. Traffic type ASSUMED MATCH (periodic for LoRa sensors, generic UDP for WiFi), but JSON does not define traffic type, considered mismatch.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
10,003-smart_agriculture,0,Valid C++ NS-3 code with main function found.,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
11,003-smart_agriculture,1,LoRa devices declared in JSON Blueprint (12) and used in NS-3 code (11). Counts do not perfectly match.,20.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
12,003-smart_agriculture,2,"WiFi devices not declared in JSON Blueprint, but used in NS-3 code. UNMATCH.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
13,003-smart_agriculture,3,"Device locations in NS-3 code do not perfectly match coordinates in JSON Blueprint. Discrepancies found, especially for WiFi devices and LoRa endpoint placement by radius instead of specific coords.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
14,003-smart_agriculture,4,"Traffic duration matches (3 hours), but traffic type is mismatched. WiFi traffic is present in NS-3 code but not specified in JSON Blueprint.",0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
15,001-smart_agriculture,0,NS-3 SOURCE CODE is not a valid C++/NS-3 code with a main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
16,001-smart_agriculture,1,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
17,001-smart_agriculture,2,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
18,001-smart_agriculture,3,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
19,001-smart_agriculture,4,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
20,002-smart_agriculture,0,NS-3 SOURCE CODE is not a valid C++/NS-3 code with a main function.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
21,002-smart_agriculture,1,Feature n.0 score is 0.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
22,002-smart_agriculture,2,Feature n.0 score is 0.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
23,002-smart_agriculture,3,Feature n.0 score is 0.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
24,002-smart_agriculture,4,Feature n.0 score is 0.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
25,003-smart_agriculture,0,No main function found or not a valid NS-3 C++ code,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
26,003-smart_agriculture,1,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
27,003-smart_agriculture,2,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
28,003-smart_agriculture,3,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
29,003-smart_agriculture,4,Feature n.0 score is 0,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
30,001-smart_agriculture,0,NS-3 SOURCE CODE does not contain main function.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
31,001-smart_agriculture,1,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
32,001-smart_agriculture,2,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
33,001-smart_agriculture,3,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
34,001-smart_agriculture,4,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
35,002-smart_agriculture,0,NS-3 SOURCE CODE does not contain main function.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
36,002-smart_agriculture,1,"JSON Blueprint declares 9 LoRa devices, NS-3 code does not instantiate LoRa devices or main function is missing.",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
37,002-smart_agriculture,2,"JSON Blueprint does not declare WiFi devices, NS-3 code includes WiFi module and main function is missing.",0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
38,002-smart_agriculture,3,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
39,002-smart_agriculture,4,Feature n.0 score is 0.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
40,003-smart_agriculture,0,NS-3 SOURCE CODE does not contain a main function.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
41,003-smart_agriculture,1,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
42,003-smart_agriculture,2,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
43,003-smart_agriculture,3,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
44,003-smart_agriculture,4,Feature n.0 score is 0,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
